nationality,sport,age,male,height,weight,won_any,won_gold,total_medals
ESP,athletics,46,1,172,64,0,0,0
KOR,fencing,29,0,168,56,0,0,0
CAN,athletics,24,1,198,79,1,0,1
MDA,taekwondo,25,1,183,80,0,0,0
NZL,cycling,25,1,181,71,0,0,0
AUS,triathlon,26,1,180,67,0,0,0
USA,volleyball,23,1,204,98,1,0,1
AUS,aquatics,24,1,193,100,0,0,0
ESP,athletics,27,0,180,62,0,0,0
ETH,athletics,25,0,165,54,0,0,0
ETH,athletics,18,1,170,63,0,0,0
BRN,athletics,20,1,175,66,0,0,0
USA,athletics,24,0,161,49,0,0,0
USA,aquatics,19,0,178,68,1,1,2
GBR,rugby sevens,20,0,176,71,0,0,0
UZB,wrestling,18,1,161,57,0,0,0
RSA,football,22,1,175,64,0,0,0
NZL,football,26,0,175,68,0,0,0
EGY,volleyball,27,1,210,88,0,0,0
MAR,athletics,29,1,173,57,0,0,0
QAT,athletics,19,1,185,80,0,0,0
SUD,athletics,19,1,177,65,0,0,0
EGY,shooting,27,1,176,80,0,0,0
MAR,athletics,23,1,190,72,0,0,0
ESP,athletics,24,1,175,67,0,0,0
SUD,aquatics,21,1,181,72,0,0,0
ALG,football,27,1,185,75,0,0,0
ALG,football,22,1,186,70,0,0,0
ALG,football,23,1,185,79,0,0,0
MAR,equestrian,54,1,174,67,0,0,0
EGY,rowing,28,1,193,95,0,0,0
EGY,wrestling,20,1,176,120,0,0,0
MAR,athletics,23,1,170,56,0,0,0
ALG,athletics,24,1,177,72,0,0,0
ALG,football,20,1,170,65,0,0,0
ALG,judo,31,1,183,90,0,0,0
ALG,cycling,21,1,172,66,0,0,0
ALG,football,22,1,168,62,0,0,0
DEN,athletics,25,1,175,57,0,0,0
NED,athletics,27,1,165,54,0,0,0
DJI,athletics,20,1,160,60,0,0,0
SEN,aquatics,27,1,190,90,0,0,0
CMR,volleyball,27,0,180,67,0,0,0
NIG,taekwondo,21,1,206,98,1,0,1
SWE,football,24,1,181,71,0,0,0
AFG,athletics,24,1,175,68,0,0,0
KSA,athletics,19,1,172,73,0,0,0
IOA,shooting,52,1,183,84,1,0,1
UZB,judo,35,1,190,132,0,0,0
RUS,wrestling,20,1,177,86,1,1,1
QAT,handball,26,1,186,77,0,0,0
IND,shooting,33,1,175,70,0,0,0
USA,aquatics,26,0,166,61,0,0,0
HUN,judo,25,0,183,76,0,0,0
BRN,athletics,22,1,183,65,0,0,0
BRN,athletics,23,1,176,60,0,0,0
BDI,athletics,26,1,162,52,0,0,0
ERI,athletics,22,1,168,58,0,0,0
QAT,athletics,19,1,180,60,0,0,0
BRN,wrestling,31,1,165,71,0,0,0
POL,badminton,31,1,187,81,0,0,0
HUN,aquatics,32,1,202,115,0,0,0
GBR,hockey,29,1,169,70,0,0,0
CAN,hockey,24,1,182,81,0,0,0
GBR,athletics,22,1,178,75,0,0,0
BRA,hockey,26,1,182,88,0,0,0
POL,athletics,26,1,178,68,0,0,0
SWE,football,22,1,174,70,0,0,0
HUN,modern pentathlon,32,1,181,75,0,0,0
GEO,judo,27,1,189,130,0,0,0
HUN,table tennis,37,1,175,71,0,0,0
GBR,aquatics,21,1,193,88,1,1,2
CZE,athletics,24,1,190,92,0,0,0
HUN,aquatics,20,1,194,77,0,0,0
AUS,shooting,45,1,178,92,0,0,0
SEY,aquatics,19,1,188,94,0,0,0
POL,handball,35,1,193,93,0,0,0
GBR,cycling,23,1,172,58,0,0,0
CAN,canoe,34,1,182,85,0,0,0
SEN,wrestling,27,1,165,57,0,0,0
LTU,basketball,27,1,194,90,0,0,0
IRI,volleyball,30,1,195,88,0,0,0
ESP,athletics,25,1,182,71,0,0,0
IRI,canoe,23,1,185,82,0,0,0
CZE,shooting,29,0,171,60,0,0,0
CZE,wrestling,22,0,171,67,0,0,0
ROU,rowing,27,0,186,75,1,0,1
ROU,athletics,23,0,168,56,0,0,0
NED,equestrian,37,0,168,55,0,0,0
USA,wrestling,25,0,173,77,0,0,0
ALG,wrestling,22,1,180,85,0,0,0
BRA,volleyball,29,0,187,65,0,0,0
EGY,wrestling,23,1,160,66,0,0,0
BRA,golf,44,1,170,79,0,0,0
IND,golf,18,0,173,57,0,0,0
SWE,football,19,1,183,78,0,0,0
CUB,archery,28,1,171,76,0,0,0
BRA,aquatics,26,1,184,83,0,0,0
POL,athletics,26,1,174,62,0,0,0
CUB,athletics,27,1,187,90,0,0,0
ROU,table tennis,36,1,186,85,0,0,0
POL,badminton,26,1,189,85,0,0,0
CUB,volleyball,18,1,191,80,0,0,0
POL,weightlifting,27,1,170,94,0,0,0
ESP,volleyball,28,1,193,89,0,0,0
SLO,judo,21,1,170,69,0,0,0
BAH,athletics,31,1,178,75,0,0,0
ITA,volleyball,28,1,182,83,0,0,0
HUN,rowing,26,1,188,89,0,0,0
CUB,rowing,26,1,189,87,0,0,0
ARG,handball,30,1,185,95,0,0,0
BRA,athletics,35,0,166,52,0,0,0
PUR,table tennis,15,0,160,50,0,0,0
ESP,archery,20,0,162,65,0,0,0
BRA,basketball,37,0,170,65,0,0,0
FRA,canoe,24,1,185,84,0,0,0
FRA,handball,28,1,202,105,1,0,1
RWA,cycling,29,1,165,68,0,0,0
USA,rowing,28,0,186,77,0,0,0
TOG,aquatics,17,0,158,53,0,0,0
NED,rowing,33,0,160,49,0,0,0
EGY,shooting,19,0,163,75,0,0,0
TUN,canoe,22,0,173,60,0,0,0
ESP,aquatics,18,0,170,58,0,0,0
NED,sailing,24,0,161,58,0,0,0
POL,athletics,22,0,168,54,0,0,0
BRA,volleyball,33,0,182,70,1,0,1
ISR,athletics,26,1,175,56,0,0,0
ITA,aquatics,22,0,175,60,0,0,0
NGR,athletics,26,0,162,65,0,0,0
FRA,athletics,23,0,167,58,0,0,0
LAT,athletics,27,0,179,68,0,0,0
DEN,equestrian,33,0,172,62,0,0,0
POL,athletics,31,0,160,47,0,0,0
POL,wrestling,33,0,175,69,0,0,0
POL,triathlon,28,0,170,59,0,0,0
POL,rowing,25,0,177,68,1,0,1
POL,shooting,35,0,169,61,0,0,0
POL,tennis,27,0,173,59,0,0,0
POL,sailing,27,0,166,53,0,0,0
POL,athletics,29,0,165,51,0,0,0
ARG,hockey,27,1,173,77,1,1,1
ARG,handball,29,1,194,100,0,0,0
ARG,hockey,23,0,165,55,0,0,0
ARG,hockey,24,0,165,55,0,0,0
JOR,taekwondo,20,1,178,68,1,1,1
MAS,aquatics,23,1,162,62,0,0,0
LIB,athletics,26,1,188,80,0,0,0
EGY,volleyball,27,1,188,89,0,0,0
EGY,volleyball,31,1,197,87,0,0,0
EGY,judo,20,1,165,60,0,0,0
EGY,volleyball,28,1,194,92,0,0,0
EGY,aquatics,19,1,188,80,0,0,0
SUD,athletics,22,1,173,75,0,0,0
QAT,athletics,20,1,190,90,0,0,0
EGY,shooting,35,1,172,80,0,0,0
EGY,volleyball,25,1,197,80,0,0,0
EGY,archery,37,1,183,84,0,0,0
EGY,handball,32,1,181,79,0,0,0
NIG,judo,28,1,180,73,0,0,0
IRQ,football,24,1,184,80,0,0,0
EGY,shooting,29,1,175,60,0,0,0
TUN,aquatics,26,1,190,90,0,0,0
EGY,shooting,20,1,170,73,0,0,0
EGY,weightlifting,28,1,185,144,0,0,0
EGY,wrestling,27,1,165,85,0,0,0
EGY,sailing,24,1,174,81,0,0,0
EGY,weightlifting,29,1,160,62,0,0,0
EGY,shooting,37,1,190,95,0,0,0
TUR,table tennis,25,1,173,67,0,0,0
TUR,cycling,23,1,177,69,0,0,0
KOR,cycling,26,0,163,55,0,0,0
VEN,athletics,31,0,180,99,0,0,0
JPN,table tennis,27,0,156,48,1,0,1
JPN,sailing,35,0,161,58,0,0,0
JPN,triathlon,32,0,155,44,0,0,0
TPE,shooting,20,0,157,52,0,0,0
KGZ,wrestling,30,1,195,125,0,0,0
CHN,sailing,31,1,185,75,0,0,0
SEN,basketball,29,0,193,95,0,0,0
HUN,fencing,40,0,162,58,0,0,0
MEX,archery,28,0,169,64,0,0,0
RUS,fencing,30,0,173,63,0,0,0
AUS,aquatics,25,1,187,88,0,0,0
JPN,aquatics,25,0,176,62,1,0,1
GRE,rowing,23,0,180,70,0,0,0
GRE,fencing,19,0,168,58,0,0,0
JPN,aquatics,22,0,166,56,1,0,1
